folder,file_name,affect_rating_segment,segment_start_sec,segment_end_sec,duration_sec,duration_msec,happiness_full_video,surprise_full_video
1,infantcog03_7,3,3.264,4.93,1.666,1666,2,0
1,infantcog03_7,5,11.694,12,0.30599999999999916,305.99999999999915,2,0
1,infantcog05_5,3,3.46,5.775,2.3150000000000004,2315.0000000000005,2,0
1,infantcog05_5,3,9.24,12,2.76,2760,2,0
1,infantcog17_8,3,2,10.461,8.461,8461,2,1
1,infantcog17_9,2,2.805,5.082,2.2769999999999997,2276.9999999999995,2,1
1,infantcog17_9,3,6.039,9.57,3.5310000000000006,3531.0000000000005,2,1
1,infantcog17_9,2,10.989,11.913,0.9239999999999995,923.9999999999995,2,1
1,infantcog19_1,6,4.785,11.55,6.765000000000001,6765.000000000001,1,0
1,infantcog19_8,5,3.498,4.917,1.4189999999999996,1418.9999999999995,1,0
1,infantcog19_8,6,5.643,8.646,3.003000000000001,3003.000000000001,1,0
1,infantcog29_1,3,11.418,12,0.5820000000000007,582.0000000000007,2,0
1,infantcog29_2,4,2,12,10,10000,0,0
1,infantcog30_2,4,2,12,10,10000,0,0
1,infantcog36_2,4,2,12,10,10000,0,0
1,infantcog37_3,4,2,12,10,10000,0,0
1,infantcog45_1,5,11.121,12,0.8789999999999996,878.9999999999995,1,0
1,infantcog45_12,4,2,12,10,10000,0,0
1,infantcog45_14,4,2,12,10,10000,0,0
1,infantcog45_3,6,10.461,12,1.5389999999999997,1538.9999999999998,2,0
1,infantcog51_2,3,2,4.224,2.224,2224,2,0
1,infantcog51_5,5,6.138,6.396,0.258,258,1,1
1,infantcog55_4,4,2,12,10,10000,0,0
1,infantcog55_7,3,9.603,10.693,1.0899999999999999,1089.9999999999998,2,0
1,infantcog58_2,4,2,12,10,10000,0,0
1,infantcog58_9,4,2,12,10,10000,0,0
1,infantcog18_4,4,2,12,10,10000,0,0
1,infantcog18_5,4,2,12,10,10000,0,0
1,infantcog24_14,2,3.267,8.745,5.478,5478,2,0
1,infantcog56_7,4,2,12,10,10000,0,0
1,infantcog57_3,4,2,12,10,10000,0,0
1,infantcog57_4,4,2,12,10,10000,0,0
1,princetonbabylab01_4,4,2,12,10,10000,0,0
1,princetonbabylab01_6,4,2,12,10,10000,0,0
1,princetonbabylab04_1,3,4.158,5.016,0.8579999999999997,857.9999999999997,2,0
1,princetonbabylab04_1,3,9.504,10.197,0.6929999999999996,692.9999999999997,2,0
1,princetonbabylab04_9,3,7.425,8.697,1.2719999999999994,1271.9999999999993,2,0
1,princetonbabylab04_9,5,11.583,12,0.4169999999999998,416.99999999999983,2,0
1,princetonbabylab06_8,3,4.62,6.171,1.5510000000000002,1551.0000000000002,2,0
1,princetonbabylab06_8,3,9.702,10.062,0.35999999999999943,359.99999999999943,2,0
1,princetonbabylab08_8,4,2,12,10,10000,0,1
1,princetonbabylab08_9,4,2,12,10,10000,0,1
1,princetonbabylab09_8,2,10.263,11.022,0.7590000000000003,759.0000000000003,2,0
1,princetonbabylab09_12,2,2,2.805,0.8050000000000002,805.0000000000001,2,0
1,princetonbabylab09_12,2,5.544,7.722,2.178000000000001,2178.000000000001,2,0
1,princetonbabylab09_12,2,9.141,9.57,0.42900000000000027,429.0000000000003,2,0
1,princetonbabylab09_12,2,10.263,10.857,0.5939999999999994,593.9999999999994,2,0
1,princetonbabylab10_1,3,2.541,8.184,5.642999999999999,5642.999999999999,2,1
1,princetonbabylab11_8,3,5.511,8.349,2.838,2838,2,1
1,princetonbabylab12_4,5,11.385,12,0.6150000000000002,615.0000000000002,1,1
1,princetonbabylab12_5,5,11.22,12,0.7799999999999994,779.9999999999993,1,0
1,princetonbabylab12_7,5,10.956,12,1.0440000000000005,1044.0000000000005,1,0
1,princetonbabylab13_1,3,3.003,8.448,5.445,5445,2,0
1,princetonbabylab13_13,4,2,12,10,10000,0,0
1,princetonbabylab16_9,3,2,12,10,10000,2,0
1,princetonbabylab18_3,3,5.907,6.468,0.5609999999999999,561,2,0
1,umn_cbplab_403_2,4,2,12,10,10000,0,0
1,umn_cbplab_404_5,4,2,12,10,10000,0,0
1,umn_cbplab_404_9,4,2,12,10,10000,0,0
1,umn_cbplab_405_7,4,2,12,10,10000,0,0
1,umn_cbplab_409_6,4,2,12,10,10000,0,0
1,umn_cbplab_411_10,3,10.89,12,1.1099999999999994,1109.9999999999995,2,0
1,umn_cbplab_411_9,4,2,12,10,10000,0,0
1,umn_cbplab_416_3,4,2,12,10,10000,0,0
1,umn_cbplab_417_1,6,10.659,12,1.3409999999999993,1340.9999999999993,1,0
1,umn_cbplab_417_6,4,2,12,10,10000,0,0
1,umn_cbplab_419_6,3,6.115,7,0.8849999999999998,884.9999999999998,2,0
1,umn_cbplab_420_3,4,2,12,10,10000,0,0
1,umn_cbplab_421_5,4,2,12,10,10000,0,0
1,umn_cbplab_423_1,5,5.577,7.326,1.7489999999999997,1748.9999999999998,1,0
1,umn_cbplab_423_9,4,2,12,10,10000,0,0
1,umn_cbplab_427_7,4,2,12,10,10000,0,0
1,umn_cbplab_432_3,4,2,12,10,10000,0,0
1,umn_cbplab_432_6,4,2,12,10,10000,0,0
1,umn_cbplab_434_8,5,10.263,12,1.737,1737,1,0
1,umn_cbplab_435_3,4,2,12,10,10000,0,1
1,umn_cbplab_440_1,5,4.752,5.111,0.359,359,1,0
1,umn_cbplab_440_1,6,6.322,9.735,3.4129999999999994,3412.9999999999995,1,0
1,umn_cbplab_440_13,5,2,12,10,10000,1,0
2,infantcog01_3,3,2.278,3.196,0.9180000000000001,918.0000000000001,2,1
2,infantcog01_3,3,7.038,7.276,0.23799999999999955,237.99999999999955,2,1
2,infantcog01_3,5,3.672,3.808,0.13599999999999968,135.9999999999997,2,1
2,infantcog03_6,3,7.276,10.574,3.298,3298,2,0
2,infantcog03_6,3,11.152,12,0.8480000000000008,848.0000000000008,2,0
2,infantcog03_12,3,4.012,12,7.988,7988,2,0
2,infantcog03_13,2,8.58,12,3.42,3420,2,0
2,infantcog06_10,4,2,12,10,10000,0,0
2,infantcog17_10,3,2,12,10,10000,2,0
2,infantcog19_4,7,2,10,8,8000,1,0
2,infantcog29_6,4,2,12,10,10000,0,1
2,infantcog30_3,4,2,12,10,10000,0,0
2,infantcog30_13,4,2,12,10,10000,0,0
2,infantcog36_3,4,2,12,10,10000,0,1
2,infantcog37_2,4,2,12,10,10000,0,0
2,infantcog39_1,3,6.91,9.306,2.395999999999999,2395.999999999999,2,0
2,infantcog39_1,3,9.452,12,2.548,2548,2,0
2,infantcog39_4,4,2,12,10,10000,0,1
2,infantcog43_3,3,6.392,7.514,1.1219999999999999,1122,2,0
2,infantcog43_10,4,2,12,10,10000,0,0
2,infantcog45_4,5,9.146,11.186,2.039999999999999,2039.999999999999,1,0
2,infantcog45_7,4,2,12,10,10000,0,0
2,infantcog45_8,4,2,12,10,10000,0,0
2,infantcog45_11,5,11.39,11.866,0.4759999999999991,475.9999999999991,1,0
2,infantcog45_13,4,2,12,10,10000,0,0
2,infantcog58_6,4,8.534,10.846,2.3119999999999994,2311.9999999999995,0,0
2,infantcog58_6,4,11.152,11.832,0.6800000000000015,680.0000000000015,0,0
2,infantcog58_10,4,2,12,10,10000,0,0
2,infantcog16_3,4,2,12,10,10000,0,0
2,infantcog16_4,4,2,12,10,10000,0,0
2,infantcog16_8,4,2,12,10,10000,0,0
2,infantcog18_8,3,2.739,4.455,1.7160000000000002,1716.0000000000002,2,0
2,infantcog24_8,6,10.131,12,1.8689999999999998,1868.9999999999998,1,0
2,infantcog24_13,1,2,8.25,6.25,6250,2,0
2,infantcog48_1,4,2,12,10,10000,0,0
2,infantcog53_2,4,2,12,10,10000,0,0
2,infantcog53_7,4,2.508,4.587,2.0789999999999997,2078.9999999999995,0,0
2,infantcog53_7,4,5.907,8.481,2.574,2574,0,0
2,infantcog53_7,4,11.133,12,0.8670000000000009,867.0000000000009,0,0
2,infantcog56_1,4,2,12,10,10000,0,0
2,infantcog57_5,4,2,12,10,10000,0,0
2,princetonbabylab01_3,4,8.92,10.52,1.5999999999999996,1599.9999999999995,0,0
2,princetonbabylab01_13,5,11.44,12,0.5600000000000005,560.0000000000005,1,0
2,princetonbabylab01_14,5,11.52,12,0.4800000000000004,480.00000000000045,1,0
2,princetonbabylab04_8,6,2,8.28,6.279999999999999,6279.999999999999,1,0
2,princetonbabylab04_8,6,2.2,4.48,2.2800000000000002,2280.0000000000005,1,0
2,princetonbabylab05_1,4,2,12,10,10000,0,0
2,princetonbabylab06_11,3,2,9.64,7.640000000000001,7640.000000000001,2,0
2,princetonbabylab07_6,3,2,2.68,0.6800000000000002,680.0000000000001,2,1
2,princetonbabylab09_9,5,10.6,12,1.4000000000000004,1400.0000000000005,1,1
2,princetonbabylab09_14,2,2,3.48,1.48,1480,2,0
2,princetonbabylab09_14,2,4,12,8,8000,2,0
2,princetonbabylab10_4,4,2,12,10,10000,0,0
2,princetonbabylab11_2,5,4.88,5.8,0.9199999999999999,919.9999999999999,1,0
2,princetonbabylab11_2,5,10.32,12,1.6799999999999997,1679.9999999999998,1,0
2,princetonbabylab11_4,4,4.587,9.504,4.917,4917,0,1
2,princetonbabylab11_4,4,10.989,12,1.0109999999999992,1010.9999999999992,0,1
2,princetonbabylab11_6,4,4.224,8.25,4.026,4026,0,0
2,princetonbabylab11_6,4,5.544,12,6.456,6456,0,0
2,princetonbabylab11_7,5,2.68,9.6,6.92,6920,1,1
2,princetonbabylab12_2,4,11.08,11.28,0.1999999999999993,199.9999999999993,0,0
2,princetonbabylab13_6,5,5.76,12,6.24,6240,1,1
2,princetonbabylab13_7,5,2.88,3.92,1.04,1040,1,0
2,princetonbabylab13_7,5,7.48,8.92,1.4399999999999995,1439.9999999999995,1,0
2,princetonbabylab14_6,4,2,12,10,10000,0,0
2,princetonbabylab15_3,4,4.56,7,2.4400000000000004,2440.0000000000005,0,0
2,princetonbabylab18_6,4,2.92,3.36,0.43999999999999995,439.99999999999994,0,0
2,princetonbabylab18_6,4,4.12,4.72,0.5999999999999996,599.9999999999997,0,0
2,umn_cbplab_401_12,4,11.088,12,0.9120000000000008,912.0000000000008,0,0
2,umn_cbplab_401_13,4,2,6.831,4.831,4831,0,0
2,umn_cbplab_401_3,NA,NA,NA,0,0,NA,NA
2,umn_cbplab_405_8,4,2,12,10,10000,0,0
2,umn_cbplab_407_4,4,7.722,9.372,1.6499999999999995,1649.9999999999995,0,0
2,umn_cbplab_409_3,4,2,12,10,10000,0,0
2,umn_cbplab_411_11,4,2,12,10,10000,0,0
2,umn_cbplab_411_3,4,2,12,10,10000,0,0
2,umn_cbplab_417_5,4,10.695,12,1.3049999999999997,1304.9999999999998,0,0
2,umn_cbplab_419_1,4,2,12,10,10000,0,0
2,umn_cbplab_419_11,4,2,12,10,10000,0,0
2,umn_cbplab_419_4,4,2,12,10,10000,0,0
2,umn_cbplab_419_5,4,2,12,10,10000,0,0
2,umn_cbplab_419_8,4,2,12,10,10000,0,0
2,umn_cbplab_422_3,4,2,12,10,10000,0,0
2,umn_cbplab_427_5,4,2,12,10,10000,0,0
2,umn_cbplab_434_4,5,2,2.805,0.8050000000000002,805.0000000000001,1,0
2,umn_cbplab_434_7,4,2,12,10,10000,0,0
2,umn_cbplab_435_10,4,2,12,10,10000,0,0
2,umn_cbplab_435_4,5,10.098,10.791,0.6929999999999996,692.9999999999997,1,0
2,umn_cbplab_435_5,5,8.989,12,3.0109999999999992,3010.999999999999,1,0
2,umn_cbplab_435_6,4,2,12,10,10000,0,0
2,umn_cbplab_436_4,5,2,4.818,2.8179999999999996,2817.9999999999995,1,0
2,umn_cbplab_436_8,4,2,12,10,10000,0,0
2,umn_cbplab_438_4,4,2,12,10,10000,0,0
2,umn_cbplab_438_5,4,2,12,10,10000,0,0
2,bllumanitoba_5372_2,4,2,12,10,10000,0,0
2,bllumanitoba_5372_3,4,2,12,10,10000,0,0
2,bllumanitoba_5372_4,4,10.74,12,1.2599999999999998,1259.9999999999998,0,0
2,bllumanitoba_5372_5,4,4.87,5.94,1.0700000000000003,1070.0000000000002,0,0
2,bllumanitoba_5372_6,4,2,12,10,10000,0,0
2,bllumanitoba_5390_12,4,2,12,10,10000,0,0
2,bllumanitoba_5390_5,4,2,12,10,10000,0,0
2,bllumanitoba_5390_7,4,2,12,10,10000,0,0
2,bllumanitoba_5391_2,4,3.807,12,8.193,8193,0,0
2,bllumanitoba_5391_3,4,2,12,10,10000,0,0
2,bllumanitoba_5391_7,3,3.762,6.996,3.2340000000000004,3234.0000000000005,2,0
2,bllumanitoba_5391_7,3,8.25,10.164,1.9139999999999997,1913.9999999999998,2,0
2,bllumanitoba_5391_7,3,10.428,12,1.5719999999999992,1571.999999999999,2,0
2,bllumanitoba_5402_7,5,2,7.722,5.722,5722,1,0
2,bllumanitoba_5402_7,5,8.382,12,3.6180000000000003,3618.0000000000005,1,0
2,bllumanitoba_5404_2,4,2,12,10,10000,0,0
2,bllumanitoba_5404_3,4,2,12,10,10000,0,0
2,bllumanitoba_5404_5,4,8.099,9.933,1.8339999999999996,1833.9999999999995,0,0
2,bllumanitoba_5411_5,5,6.699,8.481,1.782,1782,1,0
2,bllumanitoba_5414_1,5,2,10.428,8.428,8428,1,1
2,bllumanitoba_5415_10,3,2.55,9.504,6.954,6954,2,0
2,bllumanitoba_5415_10,3,5.99,7.095,1.1049999999999995,1104.9999999999995,2,0
2,bllumanitoba_5415_12,3,3.465,6.435,2.9699999999999998,2969.9999999999995,2,0
2,bllumanitoba_5415_13,3,2,12,10,10000,2,0
2,bllumanitoba_5415_13,3,5.61,6.93,1.3199999999999994,1319.9999999999993,2,0
2,bllumanitoba_5415_13,3,7.755,9.075,1.3199999999999994,1319.9999999999993,2,0
2,bllumanitoba_5415_14,6,2,4.95,2.95,2950,1,0
2,bllumanitoba_5415_14,6,2,9.075,7.074999999999999,7074.999999999999,1,0
2,bllumanitoba_5415_6,5,2,12,10,10000,1,0
2,bllumanitoba_5415_7,6,2,11.055,9.055,9055,1,0
2,bllumanitoba_5415_7,6,5.775,11.055,5.279999999999999,5279.999999999999,1,0
2,bllumanitoba_5415_9,6,2,12,10,10000,1,0
2,bllumanitoba_5415_9,6,2,3.201,1.201,1201,1,0
2,bllumanitoba_5416_14,4,8.085,11.235,3.1499999999999986,3149.9999999999986,0,0
