lab_id,subj_id,subj_num,age_group,age_days,premature_days,method,screen_size_inches,infant_distance_cm,RA_number,RA_1,RA_1_naive,RA_2,RA_2_naive,cb_order,condition,push_up_identity,push_up_order,push_up_side,meet_eligibility,exclude_session,exclusion_type_1,exclusion_type_2,exclusion_type_3,exclusion_type_4,notes,second_session,caregiver_seat,participant_gender,primarycaregiver_gender,hearing_vision,hearing_vision_info,cognitive_developmental,cognitive_developmental_info,infant_handedness,parentA_handedness,parentB_handedness,primary_language,percent_primarylanguage,colorblindness_primaryfamily,choice_experimenter_mask,character_choice,helper_hinderer_choice,left_right_choice,touch_both,touch_both_usable,trial1_sawcriticalevent,trial1_lookingtime_videoevent,trial1_lookingtime_freezeframe,trial1_numrepeats,trial2_sawcriticalevent,trial2_lookingtime_videoevent,trial2_lookingtime_freezeframe,trial2_numrepeats,trial3_sawcriticalevent,trial3_lookingtime_videoevent,trial3_lookingtime_freezeframe,trial3_numrepeats,trial4_sawcriticalevent,trial4_lookingtime_videoevent,trial4_lookingtime_freezeframe,trial4_numrepeats,trial5_sawcriticalevent,trial5_lookingtime_videoevent,trial5_lookingtime_freezeframe,trial5_numrepeats,trial6_sawcriticalevent,trial6_lookingtime_videoevent,trial6_lookingtime_freezeframe,trial6_numrepeats,trial7_sawcriticalevent,trial7_lookingtime_videoevent,trial7_lookingtime_freezeframe,trial7_numrepeats,trial8_sawcriticalevent,trial8_lookingtime_videoevent,trial8_lookingtime_freezeframe,trial8_numrepeats,trial9_sawcriticalevent,trial9_lookingtime_videoevent,trial9_lookingtime_freezeframe,trial9_numrepeats,trial10_sawcriticalevent,trial10_lookingtime_videoevent,trial10_lookingtime_freezeframe,trial10_numrepeats,trial11_sawcriticalevent,trial11_lookingtime_videoevent,trial11_lookingtime_freezeframe,trial11_numrepeats,trial12_sawcriticalevent,trial12_lookingtime_videoevent,trial12_lookingtime_freezeframe,trial12_numrepeats,trial13_sawcriticalevent,trial13_lookingtime_videoevent,trial13_lookingtime_freezeframe,trial13_numrepeats,trial14_sawcriticalevent,trial14_lookingtime_videoevent,trial14_lookingtime_freezeframe,trial14_numrepeats
babylabamsterdam,1,1,nine,293,0,eye-tracking,24,60,2,AnSa,Y,JaBa,N,8,social,square,second,left,Y,excluded,ExperimenterError,NA,NA,NA,NA,N,seat,female,male,N,NA,N,NA,R,R,R,Dutch,90,N,N,triangle,hinderer,right,N,NA,Y,10.9932984,18.0909753,0,Y,10.9393706,13.0106655,0,Y,10.9408341,6.5940393,0,Y,10.9571177,6.1776868,0,Y,10.9930022,8.893136,0,Y,10.8370001,4.609471,0,Y,10.5866124,6.4772334,0,Y,10.613,4.4412659,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
babylabamsterdam,10,10,nine,295,0,eye-tracking,24,60,2,JuBo,Y,JaBa,N,11,nonsocial,triangle,second,right,Y,excluded,FussOut,NA,NA,NA,NA,N,caregiver,female,female,N,NA,N,NA,U,R,R,Icelandic,42,N,N,NA,NA,NA,N,NA,Y,6.49,9.24,0,Y,5.18,7.03,0,Y,3.67,13.83,0,N,0.34,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
babylabamsterdam,11,11,nine,288,0,eye-tracking,24,60,2,FeVe,Y,JaBa,N,13,nonsocial,square,first,right,Y,excluded,FailToViewCritPeriod,NA,NA,NA,NA,N,seat,female,female,N,NA,N,NA,U,R,R,Dutch,100,N,N,triangle,hinderer,left,N,NA,Y,6.4945975,7.8286592,0,Y,5.107346,8.9113988,0,Y,5.9941763,3.5971984,1,N,2.1907506,NA,2,Y,4.8030091,4.6569478,0,Y,4.5444061,2.3434386,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
babylabamsterdam,12,12,ten,316,0,eye-tracking,24,60,2,FeVe,Y,JaBa,N,14,nonsocial,square,first,left,Y,excluded,FailToMakeChoice,NA,NA,NA,camera stopped recording shortly before the end of the choice phase,N,seat,female,female,N,NA,N,NA,U,R,R,Dutch,80,N,N,none,none,none,N,NA,Y,6.4910238,21.3923631,0,Y,6.2463198,6.1754519,0,Y,6.2115444,9.308311,0,Y,6.4942302,5.2263365,0,Y,6.4930923,8.6929914,0,Y,6.4980665,30,0,Y,6.4916011,19.4588957,0,Y,6.4909664,4.6242451,0,Y,6.4927372,8.2964809,0,Y,6.2002193,8.1583038,0,Y,6.4919728,7.4769079,0,Y,6.2905474,13.8100605,0,Y,6.4937006,15.1600608,0,Y,6.4912916,10.3097849,0
babylabamsterdam,13,13,six,202,0,eye-tracking,24,60,2,JuBo,Y,JaBa,N,7,social,square,second,right,Y,not_excluded,NA,NA,NA,NA,NA,N,seat,male,female,N,NA,N,NA,U,R,R,Dutch,100,N,N,square,helper,right,N,NA,Y,10.5402399,22.7254296,0,Y,10.4774744,14.857887,0,Y,10.544967,7.6575212,0,Y,10.9596811,19.0097767,0,Y,10.4945405,10.3250383,0,Y,10.2738775,30.5581521,0,Y,9.7745334,14.8107517,0,Y,10.7742151,12.4436053,0,Y,10.5286678,19.2932038,0,Y,10.697478,2.2930812,0,Y,10.7434884,7.9415987,0,Y,10.5064952,23.5267319,0,Y,9.6969373,7.6086063,0,Y,7.9432121,11.8738623,0
babylabamsterdam,14,14,ten,319,0,eye-tracking,24,60,2,AnSa,Y,JaBa,N,6,social,square,first,left,Y,excluded,EquipmentError,NA,NA,NA,eye tracker lost signal during habituation phase,N,seat,female,female,N,NA,N,NA,U,R,L,Bengali,80,N,N,triangle,hinderer,right,N,NA,Y,10.9942101,20.2594768,0,Y,10.9930209,30,0,Y,10.2438361,6.2097396,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
babylabamsterdam,15,15,ten,311,0,eye-tracking,24,60,2,FeVe,Y,JaBa,N,9,nonsocial,triangle,first,right,Y,excluded,FailToViewCritPeriod,NA,NA,NA,NA,N,seat,female,female,N,NA,N,NA,U,R,R,English,80,N,N,triangle,helper,right,N,NA,Y,3.7095451,2.010334,0,Y,5.0590528,3.0775427,0,Y,5.0339027,5.0578569,0,Y,4.2963649,4.1747884,0,Y,3.625598,1.7782642,0,Y,4.5366217,9.5918439,0,Y,3.1607589,1.7938483,0,Y,3.2843958,3.7421908,0,N,2.091315,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
babylabamsterdam,16,16,ten,311,0,eye-tracking,24,60,2,AnSa,Y,JaBa,N,6,social,square,first,left,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,female,N,NA,N,NA,B,R,L,Dutch,95,N,N,triangle,hinderer,right,N,NA,Y,10.9901159,2.9434474,0,Y,10.9846906,19.2178769,0,Y,10.9933649,12.5747391,0,Y,10.9911295,11.124831,0,Y,10.9938887,15.6253898,0,Y,10.9957064,14.2091868,0,Y,10.7709179,12.6582617,0,Y,10.9898717,16.160952,0,Y,10.6913296,13.9945367,0,Y,10.9923441,12.7277207,0,Y,10.8385098,8.3092898,0,Y,10.9924018,8.2931009,0,Y,10.9918347,6.7789171,0,Y,10.5666681,4.9273297,0
babylabamsterdam,18,17,eight,255,0,eye-tracking,24,60,2,FeVe,Y,JaBa,N,16,nonsocial,square,second,left,Y,not_excluded,NA,NA,NA,NA,NA,N,seat,male,female,N,NA,N,NA,U,R,L,Dutch,100,N,N,square,helper,left,N,NA,Y,6.4938018,16.9105084,0,Y,4.5601569,14.9937816,0,Y,4.4427588,12.6441719,0,Y,4.5684969,30,0,Y,6.3940497,16.0772239,0,Y,4.4454926,0.0261257,0,Y,4.6750028,15.1098788,0,Y,6.2387445,7.3296716,0,Y,6.3235078,15.9936412,0,Y,6.4922983,9.210668,0,Y,6.1085088,6.7796667,0,Y,6.1277251,4.3134746,0,NA,NA,NA,NA,NA,NA,NA,NA
babylabamsterdam,19,18,six,189,0,eye-tracking,24,60,2,JuBo,Y,JaBa,N,3,social,triangle,second,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,U,R,R,Dutch,100,N,N,square,hinderer,left,N,NA,Y,10.3071987,26.8757645,0,Y,10.9744024,30,0,Y,10.9915935,30,0,Y,10.9262109,30,0,Y,10.9178317,17.483438,0,Y,10.3376581,7.2084749,0,Y,9.6372894,6.9925392,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
